,GB_GCA_000814675.1
Pro_LK/Q,3.595463834634326
Pro_EK/QH,1.788649394170818
K_ORF_AAA,0.7876862345600407
N_ORF_AAT,0.5665409482758621
K_ORF_AAG,0.21231376543995925
N_ORF_AAC,0.43345905172413796
I_ORF_ATA,0.2746454906409529
I_ORF_ATT,0.6074532047646057
I_ORF_ATC,0.1179013045944413
R_ORF_AGA,0.11626690276883452
S_ORF_AGT,0.2376204682318757
R_ORF_AGG,0.041069703799098516
S_ORF_AGC,0.2424669232219499
T_ORF_ACA,0.33578721761471797
T_ORF_ACT,0.2958106471065909
T_ORF_ACG,0.15817569456462413
T_ORF_ACC,0.21022644071406701
Y_ORF_TAT,0.5375823553026189
Y_ORF_TAC,0.46241764469738117
L_ORF_TTA,0.43530974555435686
F_ORF_TTT,0.8923706904030677
L_ORF_TTG,0.0910999067937794
F_ORF_TTC,0.10762930959693232
C_ORF_TGT,0.6296676403252546
C_ORF_TGC,0.3703323596747454
S_ORF_TCA,0.21777994654482138
S_ORF_TCT,0.17391786534174716
S_ORF_TCG,0.10846299726069936
S_ORF_TCC,0.0197517993989065
E_ORF_GAA,0.6620997576221457
D_ORF_GAT,0.696868295710604
E_ORF_GAG,0.3379002423778543
D_ORF_GAC,0.3031317042893959
V_ORF_GTA,0.3983955393718707
V_ORF_GTT,0.3795061447428311
V_ORF_GTG,0.17106281292671824
V_ORF_GTC,0.05103550295857988
G_ORF_GGA,0.08912617903541556
G_ORF_GGT,0.4650649581776117
G_ORF_GGG,0.10050424156136917
G_ORF_GGC,0.3453046212256036
A_ORF_GCA,0.375831216964454
A_ORF_GCT,0.3040302244397979
A_ORF_GCG,0.16974325379375949
A_ORF_GCC,0.15039530480198865
Q_ORF_CAA,0.762018828101444
H_ORF_CAT,0.5990796561195734
Q_ORF_CAG,0.23798117189855605
H_ORF_CAC,0.40092034388042663
L_ORF_CTA,0.13555266885371026
L_ORF_CTT,0.22504531877261352
L_ORF_CTG,0.062499541307969496
L_ORF_CTC,0.05049281871757047
R_ORF_CGA,0.1042136188023181
R_ORF_CGT,0.41128058596265293
R_ORF_CGG,0.020726014166130072
R_ORF_CGC,0.30644317450096586
P_ORF_CCA,0.3996986880374966
P_ORF_CCT,0.37479860224728506
P_ORF_CCG,0.1443158753740244
P_ORF_CCC,0.08118683434119395
Pro_AA,0.0071484147424409825
Pro_AC,0.000894888066453838
Pro_AD,0.0045523230820800195
Pro_AE,0.0043904491314928065
Pro_AF,0.003516177087047717
Pro_AG,0.005684677179819816
Pro_AH,0.0018218455004768408
Pro_AI,0.006377222808039638
Pro_AK,0.005480044072473716
Pro_AL,0.009762068199327918
Pro_AM,0.0020890902302198814
Pro_AN,0.0041033519361117115
Pro_AP,0.002962598718294276
Pro_AQ,0.004540106180148909
Pro_AR,0.0031290540071056555
Pro_AS,0.005260139837713729
Pro_AT,0.004511854594433216
Pro_AV,0.005434230690232052
Pro_AW,0.0008360942259103692
Pro_AY,0.002353280734480144
Pro_CA,0.0007528665815046794
Pro_CC,0.000142785041319853
Pro_CD,0.0006070273147020488
Pro_CE,0.0006368060131591305
Pro_CF,0.00047035072434775107
Pro_CG,0.0007643199270650954
Pro_CH,0.00026953539885512357
Pro_CI,0.0006574220351678793
Pro_CK,0.0004940209718392775
Pro_CL,0.0009239032085402252
Pro_CM,0.00018630775444943387
Pro_CN,0.00040163065098525495
Pro_CP,0.00039857642550247737
Pro_CQ,0.00036421638882122933
Pro_CR,0.00035047237414873007
Pro_CS,0.0006978905228146826
Pro_CT,0.0004993658664341383
Pro_CV,0.0006329882313056585
Pro_CW,8.857253900055052e-05
Pro_CY,0.0003092403301312324
Pro_DA,0.004678309883244595
Pro_DC,0.0004764591753133063
Pro_DD,0.00356351758203077
Pro_DE,0.004313329938052671
Pro_DF,0.002823631458827895
Pro_DG,0.003574970927591186
Pro_DH,0.0009735343726353613
Pro_DI,0.0043110392689405886
Pro_DK,0.0036727061430400693
Pro_DL,0.005305953219955393
Pro_DM,0.0011628963525675729
Pro_DN,0.0026625210646113767
Pro_DP,0.0017981752529853145
Pro_DQ,0.0016225572877256022
Pro_DR,0.0017088391576140696
Pro_DS,0.0034932703959268847
Pro_DT,0.0031626504874162093
Pro_DV,0.004007907389774911
Pro_DW,0.0008139510911602315
Pro_DY,0.0023059402394970912
Pro_EA,0.004495056354277939
Pro_EC,0.00048714896450302787
Pro_ED,0.0026411414862319333
Pro_EE,0.00314890647274371
Pro_EF,0.0027747638511034533
Pro_EG,0.0034253138789350833
Pro_EH,0.0016973858120536535
Pro_EI,0.003680341706747013
Pro_EK,0.0036772874812642355
Pro_EL,0.007353047849787082
Pro_EM,0.0011430438869295184
Pro_EN,0.002848065262690116
Pro_EP,0.001998990578477942
Pro_EQ,0.004705797912589594
Pro_ER,0.0028702083974402534
Pro_ES,0.003527630432608133
Pro_ET,0.0027350589198273448
Pro_EV,0.004004853164292134
Pro_EW,0.000559686819718996
Pro_EY,0.0018852206792444762
Pro_FA,0.003866649461196447
Pro_FC,0.0005108192119945543
Pro_FD,0.0030618610464845483
Pro_FE,0.0028358483607590058
Pro_FF,0.0017622881035626776
Pro_FG,0.003036663686251633
Pro_FH,0.0006933091845905162
Pro_FI,0.0032977999650291184
Pro_FK,0.0028243950151985897
Pro_FL,0.003516177087047717
Pro_FM,0.0008551831351777292
Pro_FN,0.0027266597997497063
Pro_FP,0.0012598680116457618
Pro_FQ,0.0009811699363423054
Pro_FR,0.0012423062151197906
Pro_FS,0.0037391355472904822
Pro_FT,0.0027335318070859558
Pro_FV,0.0028228679024572007
Pro_FW,0.0004970751973220551
Pro_FY,0.0015546007707338005
Pro_GA,0.005053216061255546
Pro_GC,0.0008017341892291211
Pro_GD,0.003777313365825202
Pro_GE,0.0040720461249132405
Pro_GF,0.0035169406434184115
Pro_GG,0.0043095121561992
Pro_GH,0.001365238790801589
Pro_GI,0.004499637692502106
Pro_GK,0.0037246279762472886
Pro_GL,0.006662029334308649
Pro_GM,0.0015332211923543572
Pro_GN,0.0027388767016808166
Pro_GP,0.0015546007707338005
Pro_GQ,0.0024815582047568036
Pro_GR,0.002518208910550135
Pro_GS,0.004052957215645881
Pro_GT,0.003457383246504248
Pro_GV,0.004862326968581946
Pro_GW,0.0007879901745566219
Pro_GY,0.0024624692954894434
Pro_HA,0.0015240585159060245
Pro_HC,0.0002954963154587332
Pro_HD,0.0010598162425238286
Pro_HE,0.0010705060317135503
Pro_HF,0.0011483887815243793
Pro_HG,0.0014026530529656148
Pro_HH,0.000609317983814132
Pro_HI,0.0015416203124319957
Pro_HK,0.0011712954726452113
Pro_HL,0.002145593401651267
Pro_HM,0.00037108839615747894
Pro_HN,0.001060579798894523
Pro_HP,0.0010155299730235535
Pro_HQ,0.0009735343726353613
Pro_HR,0.0007597385888409291
Pro_HS,0.0015110780576042197
Pro_HT,0.0012064190656971537
Pro_HV,0.0012293257568179857
Pro_HW,0.0003252750139158149
Pro_HY,0.0008971787355659212
Pro_IA,0.006633777748592956
Pro_IC,0.0006849100645128777
Pro_ID,0.004545451074743769
Pro_IE,0.004882179434220001
Pro_IF,0.002440326160739306
Pro_IG,0.00443091761913961
Pro_IH,0.001146098112412296
Pro_II,0.004175126234956985
Pro_IK,0.004523307939993632
Pro_IL,0.005454846712240801
Pro_IM,0.0012003106147315985
Pro_IN,0.0041545102129482364
Pro_IP,0.0023425909452904226
Pro_IQ,0.001998990578477942
Pro_IR,0.0023639705236698657
Pro_IS,0.005082231203341933
Pro_IT,0.004471386106786413
Pro_IV,0.004107933274335878
Pro_IW,0.0006322246749349641
Pro_IY,0.0018783486719082267
Pro_KA,0.005445684035792468
Pro_KC,0.00039399508727831095
Pro_KD,0.002962598718294276
Pro_KE,0.003579552265815352
Pro_KF,0.0018478064170804505
Pro_KG,0.0035077779669700783
Pro_KH,0.0015828523564494934
Pro_KI,0.003474181486659525
Pro_KK,0.003708593292462706
Pro_KL,0.006037440223080629
Pro_KM,0.0010621069116359119
Pro_KN,0.0033382684526759216
Pro_KP,0.002522790248774301
Pro_KQ,0.003539083778168549
Pro_KR,0.002847301706319422
Pro_KS,0.003784948929532146
Pro_KT,0.0034703637048060527
Pro_KV,0.004156037325689625
Pro_KW,0.0005780121726156616
Pro_KY,0.001698149368424348
Pro_LA,0.009533764844490292
Pro_LC,0.0010666882498600783
Pro_LD,0.005616720662828014
Pro_LE,0.00606187402694285
Pro_LF,0.004482075895976134
Pro_LG,0.006526116300325046
Pro_LH,0.0019348518433396124
Pro_LI,0.00694836297331905
Pro_LK,0.006381040589893109
Pro_LL,0.010491264533341071
Pro_LM,0.002137194281573629
Pro_LN,0.005836624897588002
Pro_LP,0.004315620607164755
Pro_LQ,0.0036444545573243764
Pro_LR,0.003674996812152152
Pro_LS,0.008181506511990507
Pro_LT,0.00634286277135839
Pro_LV,0.006665083559791427
Pro_LW,0.0009231396521695308
Pro_LY,0.00285570082639706
Pro_MA,0.0022356930533932065
Pro_MC,0.00019241620541498908
Pro_MD,0.0011201371958086863
Pro_ME,0.000968953034411195
Pro_MF,0.0008819076081520332
Pro_MG,0.001532457635983663
Pro_MH,0.0005161641065894151
Pro_MI,0.0013316423104910355
Pro_MK,0.0013133169575943698
Pro_ML,0.0026113627877748517
Pro_MM,0.0005963375255123272
Pro_MN,0.000999495289238971
Pro_MP,0.0011621327961968784
Pro_MQ,0.0012720849135768723
Pro_MR,0.0010598162425238286
Pro_MS,0.0018760580027961434
Pro_MT,0.0013522583324997843
Pro_MV,0.0014942798174489428
Pro_MW,0.0002206677911306819
Pro_MY,0.0005375436849688584
Pro_NA,0.004135421303680876
Pro_NC,0.00046042449152872383
Pro_ND,0.002987032522156497
Pro_NE,0.0031114922105796843
Pro_NF,0.0019027824757704476
Pro_NG,0.0032237349970717613
Pro_NH,0.0009620810270749453
Pro_NI,0.003449747682797304
Pro_NK,0.0034100427515211954
Pro_NL,0.004642422733821958
Pro_NM,0.0008903067282296717
Pro_NN,0.003131344676217739
Pro_NP,0.0021578103035823776
Pro_NQ,0.0022250032642034847
Pro_NR,0.0018332988460372569
Pro_NS,0.0033092533105895344
Pro_NT,0.003361938700167448
Pro_NV,0.0031741038329766253
Pro_NW,0.0006635304861334346
Pro_NY,0.001787485463795593
Pro_PA,0.002841193255353866
Pro_PC,0.00027106251159651236
Pro_PD,0.002174608543737654
Pro_PE,0.002669393071947626
Pro_PF,0.001700440037536431
Pro_PG,0.0020722919900646045
Pro_PH,0.0008131875347895371
Pro_PI,0.002554859616343466
Pro_PK,0.0020837453356250205
Pro_PL,0.003955985556567692
Pro_PM,0.0007551572506167627
Pro_PN,0.001867658882718505
Pro_PP,0.0009399378923248077
Pro_PQ,0.0015943057020099095
Pro_PR,0.001142280330558824
Pro_PS,0.0025105733468431908
Pro_PT,0.002177662769220432
Pro_PV,0.0026426685989733223
Pro_PW,0.0004253008984767814
Pro_PY,0.0012407791023784018
Pro_QA,0.004241555639207398
Pro_QC,0.0004191924475112262
Pro_QD,0.0018852206792444762
Pro_QE,0.002170027205513488
Pro_QF,0.001882930010132393
Pro_QG,0.0030275010098033002
Pro_QH,0.001068215362601467
Pro_QI,0.0025800569765763812
Pro_QK,0.002360152741816394
Pro_QL,0.005226543357403175
Pro_QM,0.0008231137676085644
Pro_QN,0.0021753721001083488
Pro_QP,0.001532457635983663
Pro_QQ,0.0030717872793035754
Pro_QR,0.0017928303583904536
Pro_QS,0.0033871360604003633
Pro_QT,0.0026396143734905447
Pro_QV,0.003014520551501495
Pro_QW,0.0006360424567884361
Pro_QY,0.0015011518247851924
Pro_RA,0.0029480911472510823
Pro_RC,0.00031382166835539885
Pro_RD,0.0021639187545479327
Pro_RE,0.0024662870773429157
Pro_RF,0.0021142875904527967
Pro_RG,0.002185298332927376
Pro_RH,0.0008704542625916172
Pro_RI,0.002667865959206237
Pro_RK,0.002063892869986966
Pro_RL,0.004211776940750317
Pro_RM,0.0007711919344013451
Pro_RN,0.0016607351062603224
Pro_RP,0.0013178982958185362
Pro_RQ,0.0015775074618546326
Pro_RR,0.0016920409174587929
Pro_RS,0.0022746344282986207
Pro_RT,0.0018989646939169755
Pro_RV,0.002635033035266378
Pro_RW,0.00047264139345983426
Pro_RY,0.0015064967193800533
Pro_SA,0.0057938657408291155
Pro_SC,0.0005971010818830217
Pro_SD,0.004148401761982681
Pro_SE,0.00419345158785365
Pro_SF,0.0032374790117442606
Pro_SG,0.004607299140770016
Pro_SH,0.0015469652070268566
Pro_SI,0.004617988929959738
Pro_SK,0.0038223631916961716
Pro_SL,0.007275928656346948
Pro_SM,0.001319425408559925
Pro_SN,0.0033512489109777262
Pro_SP,0.0022570726317726495
Pro_SQ,0.0031099650978382958
Pro_SR,0.0025090462341018018
Pro_SS,0.004688999672434317
Pro_ST,0.0036681248048159028
Pro_SV,0.0047653553095037575
Pro_SW,0.0007673741525478731
Pro_SY,0.0023479358398852835
Pro_TA,0.004726413934598343
Pro_TC,0.00047493206257191744
Pro_TD,0.00334666757275356
Pro_TE,0.002965652943777054
Pro_TF,0.0023769509819716707
Pro_TG,0.0040834994704736565
Pro_TH,0.0012957551610683986
Pro_TI,0.003663543466591736
Pro_TK,0.002892351532190391
Pro_TL,0.006801760150145724
Pro_TM,0.001014766416652859
Pro_TN,0.002632742366154295
Pro_TP,0.00287478973566442
Pro_TQ,0.0029664165001477482
Pro_TR,0.0021173418159355743
Pro_TS,0.0036085674079017393
Pro_TT,0.0033084897542188397
Pro_TV,0.003866649461196447
Pro_TW,0.0006047366455899656
Pro_TY,0.0016630257753724054
Pro_VA,0.005872512047010638
Pro_VC,0.0006887278463663498
Pro_VD,0.004062883448464908
Pro_VE,0.004191160918741567
Pro_VF,0.0029267115688716393
Pro_VG,0.004210249828008927
Pro_VH,0.0012155817421454864
Pro_VI,0.004915775914530554
Pro_VK,0.003954458443826303
Pro_VL,0.00650779094742838
Pro_VM,0.0015927785892685207
Pro_VN,0.0033703378202450864
Pro_VP,0.0023448816144025055
Pro_VQ,0.0021463569580219615
Pro_VR,0.0023486993962559778
Pro_VS,0.0048249127064179205
Pro_VT,0.004138475529163654
Pro_VV,0.004783680662400423
Pro_VW,0.0006536042533144073
Pro_VY,0.001991355014770998
Pro_WA,0.0007543936942460683
Pro_WC,0.00011682412471624336
Pro_WD,0.00056732238342594
Pro_WE,0.00047493206257191744
Pro_WF,0.0005734308343914952
Pro_WG,0.0006788016135473226
Pro_WH,0.0003176394502088708
Pro_WI,0.0005741943907621896
Pro_WK,0.00038712307994206134
Pro_WL,0.0015316940796129685
Pro_WM,0.00025502782781192996
Pro_WN,0.00039552220001969974
Pro_WP,0.0004275915675888646
Pro_WQ,0.0010636340243773007
Pro_WR,0.0005642681579431624
Pro_WS,0.0006429144641246857
Pro_WT,0.0004230102293646982
Pro_WV,0.000778827498108289
Pro_WW,0.00015652905599235223
Pro_WY,0.0003581079378556741
Pro_YA,0.002404439011316669
Pro_YC,0.0003825417417178949
Pro_YD,0.001745489863407401
Pro_YE,0.001652335986182684
Pro_YF,0.0016263750695790743
Pro_YG,0.0020722919900646045
Pro_YH,0.0007047625301509322
Pro_YI,0.0019883007892882204
Pro_YK,0.0020173159313746076
Pro_YL,0.0035115957488235506
Pro_YM,0.0005390707977102471
Pro_YN,0.0015622363344407447
Pro_YP,0.0013072085066288147
Pro_YQ,0.0017042578193899032
Pro_YR,0.0014209784058622805
Pro_YS,0.002395276334868336
Pro_YT,0.0017981752529853145
Pro_YV,0.0018058108166922584
Pro_YW,0.0004298822367009478
Pro_YY,0.0012003106147315985
